node_id,project_id,vsn,address,lat,lon,description,start_timestamp,end_timestamp
020000000009,LinkNYC,LNK1,TBD,0.0,0.0,"LinkNYC, qu-02-125016",2018/01/01 00:00:00,
020000000007,LinkNYC,LNK10,TBD,0.0,0.0,"LinkNYC, mn-09-120561",2018/01/01 00:00:00,
020000000008,LinkNYC,LNK11,TBD,0.0,0.0,"LinkNYC, mn-09-139323",2018/01/01 00:00:00,
02000000000a,LinkNYC,LNK12,TBD,0.0,0.0,"LinkNYC, qu-09-145794",2018/01/01 00:00:00,
02000000000b,LinkNYC,LNK13,TBD,0.0,0.0,"LinkNYC, mn-05-121630",2018/01/01 00:00:00,
02000000000c,LinkNYC,LNK14,TBD,0.0,0.0,"LinkNYC, mn-03-133426",2018/01/01 00:00:00,
02000000000f,LinkNYC,LNK15,TBD,0.0,0.0,"LinkNYC, qu-02-145783",2018/01/01 00:00:00,
020000000002,LinkNYC,LNK2,TBD,0.0,0.0,"LinkNYC, mn-05-122169",2018/01/01 00:00:00,
02000000000e,LinkNYC,LNK3,TBD,0.0,0.0,"LinkNYC, mn-05-121631",2018/01/01 00:00:00,
02000000000d,LinkNYC,LNK4,TBD,0.0,0.0,"LinkNYC, mn-02-133430",2018/01/01 00:00:00,
020000000003,LinkNYC,LNK6,TBD,0.0,0.0,"LinkNYC, mn-05-122171",2018/01/01 00:00:00,
020000000004,LinkNYC,LNK7,TBD,0.0,0.0,"LinkNYC, bk-07-141621",2018/01/01 00:00:00,
020000000005,LinkNYC,LNK8,TBD,0.0,0.0,"LinkNYC, bk-07-141113",2018/01/01 00:00:00,
020000000006,LinkNYC,LNK9,TBD,0.0,0.0,"LinkNYC, qu-09-128371",2018/01/01 00:00:00,
